,,,,,,,,,,,,,,,,,,,,,,AFS Days,Shipment Plan Days,,,,,Bunch Qty,,,to ship,,,
,,,,,,,,,,,,,,,,,,,,,,30,40,,,,,2,,,1347,,,
Group Name,SKU,Title,Category,Int – WH,Dec – WH,Non Apron Qty,APR- Sky Blue,APR- Dark Blue,APR- Brown,APR- Green,APR- Tan,APR- Black,APR- Red,APR- Grey,weight,Total Weight, ,HSN,GST ,COST,SKU,Title,Tra. Qty,quantity,Available Qty,Fulfilment ID,Sale-Total,Sale-WH,Ship – WH,Sum,Final – WH,,,
APR- Tan,CRM_AP_TEN _PACK OF 2,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Ten_Pack of 2)",Apron,2,0.5,,,,,,12,,,,220,1320,,630222,5,120,CRM_AP_TEN _PACK OF 2,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Ten_Pack of 2)",20,34,54,BLR4,44,44,5,,6,,,
APR- Black,CRM_AP_BLACK_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets (Black_Pack of 3)",Apron,,,,,,,,,,,,390,,,630222,5,180,CRM_AP_BLACK_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets (Black_Pack of 3)",0,20,20,BLR4,8,7,-10,,,,,
APR- Dark Blue,CRM_AP_BLUE_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Blue_Pack of 3)",Apron,,,,,,,,,,,,390,,,630222,5,180,CRM_AP_BLUE_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Blue_Pack of 3)",0,12,12,BLR4,4,4,-6,,,,,
APR- Brown,CRM_AP_BROWN_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Brown_Pack of 3)",Apron,6,0,,,,36,,,,,,390,4680,,630222,5,180,CRM_AP_BROWN_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Brown_Pack of 3)",0,3,3,BLR4,11,11,12,,12,,,
APR- Green,CRM_AP_GREEN_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Green_Pack of 3 )",Apron,,,,,,,,,,,,390,,,630222,5,180,CRM_AP_GREEN_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Green_Pack of 3 )",5,5,10,BLR4,5,5,-3,,,,,
APR- Red,CRM_AP_RED_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Red_Pack of 3 )",Apron,3,0,,,,,,,,18,,390,2340,,630222,5,180,CRM_AP_RED_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Red_Pack of 3 )",0,4,4,BLR4,7,7,6,,6,,,
APR- Tan,CRM_AP_TEN _PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Ten_Pack of 3)",Apron,,,,,,,,,,,,390,,,630222,5,180,CRM_AP_TEN _PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Ten_Pack of 3)",0,24,24,BLR4,20,16,-2,,,,,
BAJAJ,Bajaj_1,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue),WG,,,,,,,,,,,,144,,,630790,5,55,Bajaj_1,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue),0,7,7,BLR4,6,4,-1,,,,,
BAJAJ,Bajaj_2,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Elgi Ultra Perfect S | Elgi Ultra Perfect Plus | 1.25L Table Top Ultra Mini CSM-BJ (Blue),WG,,,,,,,,,,,,144,,,630790,5,55,Bajaj_2,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Elgi Ultra Perfect S | Elgi Ultra Perfect Plus | 1.25L Table Top Ultra Mini CSM-BJ (Blue),0,17,17,BLR4,10,9,-5,,,,,
BAJAJ,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2L Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),WG,,,,,,,,,,,,144,,,630790,5,55,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2L Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),5,36,41,BLR4,20,20,-14,,,,,
BAJAJ,Bajaj_4,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Bajaj WX 1 | Bajaj WX 3 CSM-BJ (Blue),WG,2,0.5,10,,,,,,,,,144,1440,,630790,5,55,Bajaj_4,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Bajaj WX 1 | Bajaj WX 3 CSM-BJ (Blue),25,1,26,BLR4,24,23,5,,10,,,
Bajaj (Grey),CRM-WG-NW-Ultra-Grey,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus | 1.25 Litre Ultra Mini - Grey",WG NW,13,0,50,,,,,,,,,90,4500,,630790,5,40,CRM-WG-NW-Ultra-Grey,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus | 1.25 Litre Ultra Mini - Grey",150,295,445,BLR4,377,353,26,,50,,,
Bajaj (Black),CRM-WG-NW-Ultra-Black,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus | 1.25 Litre Ultra Mini - Black",WG NW,6,0,20,,,,,,,,,90,1800,,630790,5,40,CRM-WG-NW-Ultra-Black,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus | 1.25 Litre Ultra Mini - Black",0,48,48,BLR4,49,45,12,,20,,,
Bajaj (Grey),CRM-WG-NW-Butterfly-Grey,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Grey",WG NW,,,,,,,,,,,,90,,,630790,5,40,CRM-WG-NW-Butterfly-Grey,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Grey",50,124,174,BLR4,105,106,-32,,,,,
Bajaj (Black),CRM-WG-NW-Butterfly-Black,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Black",WG NW,8,0,20,,,,,,,,,90,1800,,630790,5,40,CRM-WG-NW-Butterfly-Black,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Black",0,19,19,BLR4,30,26,16,,20,,,
Bajaj (Black),CRM-WG-NW-Ultra-Grind+-Black,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Grind+ Gold - Black,WG NW,,,,,,,,,,,,90,,,630790,5,40,CRM-WG-NW-Ultra-Grind+-Black,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Grind+ Gold - Black,5,60,65,BLR4,44,43,-7,,,,,
Bajaj (Grey),CRM-WG-NW-Ultra-Grind+-Grey,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Grind+ Gold - Grey,WG NW,,,,,,,,,,,,90,,,630790,5,40,CRM-WG-NW-Ultra-Grind+-Grey,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Grind+ Gold - Grey,80,240,320,BLR4,185,179,-81,,,,,
BAJAJ,Ultra_1,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2.5L Table Top Ultra Grind Plus Gold | Ultra Bigg Plus CSM-UL (Blue),WG,1,0,20,,,,,,,,,181,3620,,630790,5,55,Ultra_1,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2.5L Table Top Ultra Grind Plus Gold | Ultra Bigg Plus CSM-UL (Blue),30,104,134,BLR4,101,100,0,,20,,,
DC (NW Black),CRM_NW_BLACK_DC,"CRASOME Water Dispenser Bottle Dust Cover, Durable Fabric Dust Proof Cover for 20L Water Bottle (Black)",NW-DC,10,0,20,,,,,,,,,85,1700,,630790,5,30,CRM_NW_BLACK_DC,"CRASOME Water Dispenser Bottle Dust Cover, Durable Fabric Dust Proof Cover for 20L Water Bottle (Black)",0,54,54,BLR4,63,55,20,,20,,,
DC (NW Grey),CRM_NW_GREY_DC,"CRASOME Water Dispenser Bottle Dust Cover, Durable Fabric Dust Proof Cover for 20L Water Bottle (Grey)",NW-DC,1,0,2,,,,,,,,,85,170,,630790,5,30,CRM_NW_GREY_DC,"CRASOME Water Dispenser Bottle Dust Cover, Durable Fabric Dust Proof Cover for 20L Water Bottle (Grey)",20,52,72,BLR4,53,55,2,,2,,,
DC (NW Black),CRM_NW_BLACK_DC_PACK OF 5,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Black Pack of 5),NW-DC,,,0,,,,,,,,,425,,,630790,5,150,CRM_NW_BLACK_DC_PACK OF 5,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Black Pack of 5),20,0,20,BLR4,12,12,-4,,,,,
DC (NW Grey),CRM_NW_GREY_DC_PACK OF 5,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Grey Pack of 5),NW-DC,0,0.5,10,,,,,,,,,425,850,,630790,5,150,CRM_NW_GREY_DC_PACK OF 5,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Grey Pack of 5),5,9,14,BLR4,12,11,1,,2,,,
DC (NW Black),CRM_NW_BLACK_DC_PACK OF 2,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Black Pack of 2),NW-DC,,,0,,,,,,,,,170,,,630790,5,60,CRM_NW_BLACK_DC_PACK OF 2,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Black Pack of 2),0,22,22,BLR4,12,10,-8,,,,,
DC (NW Grey),CRM_NW_GREY_DC_PACK OF 2,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Grey Pack of 2),NW-DC,,,0,,,,,,,,,170,,,630790,5,60,CRM_NW_GREY_DC_PACK OF 2,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Grey Pack of 2),0,37,37,BLR4,9,7,-27,,,,,
DC-TS-NW-Black,CRM-DC-TS-NW-BLACK,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Black (DC-TS-BLK),NW-DC,,,,,,,,,,,,85,,,630790,5,30,CRM-DC-TS-NW-BLACK,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Black (DC-TS-BLK),60,174,234,BLR4,129,128,-63,,,,,
DC-TS-NW-Grey,CRM-DC-TS-NW-GREY,CRASOME Water Dispenser for 20 ltr/Litre Bottle Jar Cover with Transparent Strap - Grey (DC-TS-GRY),NW-DC,,,,,,,,,,,,85,,,630790,5,30,CRM-DC-TS-NW-GREY,CRASOME Water Dispenser for 20 ltr/Litre Bottle Jar Cover with Transparent Strap - Grey (DC-TS-GRY),60,121,181,BLR4,108,106,-39,,,,,
DC-TS-NW-Black,CRM-DC-TS-NW-BLACK-2Q,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Black Pack of 2 (DC-TS-B-2Q),NW-DC,,,0,,,,,,,,,170,,,630790,5,60,CRM-DC-TS-NW-BLACK-2Q,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Black Pack of 2 (DC-TS-B-2Q),0,63,63,BLR4,26,24,-31,,,,,
DC-TS-NW-Grey,CRM-DC-TS-NW-GREY-2Q,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Grey Pack of 2 (DC-TS-G-2Q),NW-DC,,,0,,,,,,,,,170,,,630790,5,60,CRM-DC-TS-NW-GREY-2Q,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Grey Pack of 2 (DC-TS-G-2Q),15,51,66,BLR4,38,35,-19,,,,,
L3110 (Grey),CRM-EP-L3210-NW-GREY,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3250 / L3210 (Grey)",Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-EP-L3210-NW-GREY,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3250 / L3210 (Grey)",60,159,219,BLR4,152,145,-25,,,,,
L3110 (Black),CRM-EP-L3210-NW-BLACK,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3250 / L3210 (Black)",Printer NW,18,0.5,50,,,,,,,,,90,4500,,630790,5,40,CRM-EP-L3210-NW-BLACK,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3250 / L3210 (Black)",50,112,162,BLR4,157,149,37,,50,,,
L3110 (Black),CRM-EP-L3110-NW-BLACK,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3150 / L3110 (Black)",Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-EP-L3110-NW-BLACK,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3150 / L3110 (Black)",0,12,12,BLR4,2,2,-9,,,,,
L3110 (Grey),CRM-EP-L3110-NW-GREY,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3150 / L3110 (Grey)",Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-EP-L3110-NW-GREY,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3150 / L3110 (Grey)",0,26,26,BLR4,5,4,-20,,,,,
