,,,,,,,,,,,,,,,,,,,,,,AFS Days,Shipment Plan Days,,,,,Bunch Qty,,,to ship,,,
,,,,,,,,,,,,,,,,,,,,,,30,40,,,,,2,,,1347,,,
Group Name,SKU,Title,Category,Int – WH,Dec – WH,Non Apron Qty,APR- Sky Blue,APR- Dark Blue,APR- Brown,APR- Green,APR- Tan,APR- Black,APR- Red,APR- Grey,weight,Total Weight, ,HSN,GST ,COST,SKU,Title,Tra. Qty,quantity,Available Qty,Fulfilment ID,Sale-Total,Sale-WH,Ship – WH,Sum,Final – WH,,,
HP 580 (Grey),CRM-BR-580-T226-NW-GREY,Crasome Dust & Water Proof Printer Cover for Brother DCP-T226 / DCP-T426W (Grey),Printer NW,6,0,12,,,,,,,,,90,1080,,630790,5,40,CRM-BR-580-T226-NW-GREY,Crasome Dust & Water Proof Printer Cover for Brother DCP-T226 / DCP-T426W (Grey),10,9,19,BLR4,25,23,12,,12,,,
HP 580 (Black),CRM-BR-580-T226-NW-BLACK,Crasome Dust & Water Proof Printer Cover for Brother DCP-T226 / DCP-T426W (Black),Printer NW,1,0,,,,,,,,,,90,,,630790,5,40,CRM-BR-580-T226-NW-BLACK,Crasome Dust & Water Proof Printer Cover for Brother DCP-T226 / DCP-T426W (Black),0,4,4,BLR4,4,3,0,,,,,
HP 580 (Black),CRM-HP-580-Black,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 580 / 581 / 585 (Black),Printer NW,25,0,20,,,,,,,,,88,1760,,630790,5,40,CRM-HP-580-Black,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 580 / 581 / 585 (Black),50,63,113,BLR4,126,122,50,,20,,,
HP 580 (Grey),CRM-HP-525-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 520 / 525 (Grey),Printer NW,3,0,6,,,,,,,,,90,540,,630790,5,40,CRM-HP-525-Grey,Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 520 / 525 (Grey),0,14,14,BLR4,16,15,6,,6,,,
HP 580 (Black),CRM-HP-525-Black,"Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 520 / 525 (Black)",Printer NW,3,0,6,,,,,,,,,90,540,,630790,5,40,CRM-HP-525-Black,"Crasome Dust & Water Proof Printer Cover for HP Smart Tank All-in-One 520 / 525 (Black)",0,2,2,BLR4,6,6,6,,6,,,
L3110 (Grey),CRM-EP-L3252-NW-GREY-1,Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3252 (Grey),Printer NW,1,0,,,,,,,,,,90,,,630790,5,40,CRM-EP-L3252-NW-GREY-1,Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3252 (Grey),0,0,0,BLR4,,,0,,,,Bad rating,
HP 4826 (Black),CRM-PR-4826-E477-BLACK,Crasome Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Black),Printer NW,3,0.5,8,,,,,,,,,75,600,,630790,5,40,CRM-PR-4826-E477-BLACK,Crasome Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Black),45,40,85,BLR4,72,69,7,,8,,,
HP 4826 (Grey),CRM-PR-4826-E477-GREY,Crasome Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey),Printer NW,,,,,,,,,,,,75,,,630790,5,40,CRM-PR-4826-E477-GREY,Crasome Dust & Water Proof Printer Cover for Canon Pixma E470 / E477 (Grey),60,130,190,BLR4,94,92,-67,,,,,
BR-T820DW - Grey,CRM-BR-T820DW-Grey,Crasome Dust & Water Proof Printer Cover for Brother Ink Tank DCP-T820DW / MFC-T910DW / MFC-T920DW (Grey),Printer NW,,,,,,,,,,,,80,,,630790,5,40,CRM-BR-T820DW-Grey,Crasome Dust & Water Proof Printer Cover for Brother Ink Tank DCP-T820DW / MFC-T910DW / MFC-T920DW (Grey),0,10,10,BLR4,6,6,-2,,,,,
BR-T730DW - Grey,CRM-BR-T730DW-Grey,Crasome Dust & Water Proof Printer Cover for Brother Ink Tank DCP-T730DW (Grey),Printer NW,10,0,30,,,,,,,,,80,2400,,630790,5,40,CRM-BR-T730DW-Grey,Crasome Dust & Water Proof Printer Cover for Brother Ink Tank DCP-T730DW (Grey),30,18,48,BLR4,52,51,20,,30,,,
BR-T535DW (Grey),CRM-BR-T535DW-Grey,Crasome Dust & Water Proof Printer Cover for Brother Ink Tank DCP-T535DW / DCP-T530DW / DCP-T436W / DCP-T430W (Grey),Printer NW,30,0.5,90,,,,,,,,,80,7200,,630790,5,40,CRM-BR-T535DW-Grey,Crasome Dust & Water Proof Printer Cover for Brother Ink Tank DCP-T535DW / DCP-T530DW / DCP-T436W / DCP-T430W (Grey),100,78,178,BLR4,185,179,61,,90,,,
HP 4826 (Black),CRM-PR-4826-MG3070S-Black,Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black),Printer NW,2,0,4,,,,,,,,,80,320,,630790,5,40,CRM-PR-4826-MG3070S-Black,Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Black),0,3,3,BLR4,5,5,4,,4,,,
HP 4826 (Grey),CRM-PR-4826-MG3070S-Grey,Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Grey),Printer NW,3,0.5,8,,,,,,,,,80,640,,630790,5,40,CRM-PR-4826-MG3070S-Grey,Crasome Dust & Water Proof Printer Cover for Canon Pixma MG3070S / MG2577s (Grey),0,4,4,BLR4,8,8,7,,8,,,
HP 670 (Black),CRM-PR-670-G3770-BLACK,Crasome Dust & Water Proof Printer Cover for Canon Pixma G2770 / G3770 (Black),Printer NW,36,0.5,74,,,,,,,,,90,6660,,630790,5,40,CRM-PR-670-G3770-BLACK,Crasome Dust & Water Proof Printer Cover for Canon Pixma G2770 / G3770 (Black),60,50,110,BLR4,135,137,73,,74,,,
HP 670 (Grey),CRM-PR-670-G3770-GREY,Crasome Dust & Water Proof Printer Cover for Canon Pixma G2770 / G3770 (Grey),Printer NW,17,0,34,,,,,,,,,90,3060,,630790,5,40,CRM-PR-670-G3770-GREY,Crasome Dust & Water Proof Printer Cover for Canon Pixma G2770 / G3770 (Grey),20,14,34,BLR4,56,51,34,,34,,,
HP 136NW (Grey),CRM-HP-136-1188w-Grey,Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey),Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-HP-136-1188w-Grey,Crasome Dust Proof Water-resistant Printer Cover for HP Laser MFP 1188w / 1188a (Grey),50,61,111,BLR4,81,80,-4,,,,bad rating,
HP 1008w - Grey,CRM-HP-1008w-Grey_1,Crasome Dust Proof Water-resistant Printer Cover for HP Laser 1008w / 1008a (Grey),Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-HP-1008w-Grey_1,Crasome Dust Proof Water-resistant Printer Cover for HP Laser 1008w / 1008a (Grey),50,40,90,BLR4,68,64,-4,,,,,
Canon TS207 - Grey,CRM-Canon-TS207-Grey,CRASOME Dust Proof Water-resistant Printer Cover for Canon Pixma TS207 (Grey),Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-Canon-TS207-Grey,CRASOME Dust Proof Water-resistant Printer Cover for Canon Pixma TS207 (Grey),0,5,5,BLR4,,0,-5,,,,,
HP 2606sdw - Black,CRM-HP-2606sdw-Black,CRASOME Dust Proof Water-Resistant Printer Cover For HP Laserjet Tank MFP 1188Fnw / 2606Sdw (Black),Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-HP-2606sdw-Black,CRASOME Dust Proof Water-Resistant Printer Cover For HP Laserjet Tank MFP 1188Fnw / 2606Sdw (Black),0,16,16,BLR4,7,7,-6,,,,,
HP 2606sdw - Grey,CRM-HP-2606sdw-Grey,Crasome Dust Proof Water-resistant Printer Cover for HP Laserjet Tank MFP 1188fnw / 2606sdw (Grey),Printer NW,5,0.5,12,,,,,,,,,90,1080,,630790,5,40,CRM-HP-2606sdw-Grey,Crasome Dust Proof Water-resistant Printer Cover for HP Laserjet Tank MFP 1188fnw / 2606sdw (Grey),0,36,36,BLR4,38,35,11,,12,,,
AIr Fryer Cover - Grey,CRM-AFC-PH-NA120-4.2L-GREY,CRASOME Dustproof Air Fryer Cover for Philips 4.2L NA120/00 – Waterproof & Oil-Proof Protective Cover with Pocket (Grey),Printer NW,1,0,,,,,,,,,,90,,,630790,5,40,CRM-AFC-PH-NA120-4.2L-GREY,CRASOME Dustproof Air Fryer Cover for Philips 4.2L NA120/00 – Waterproof & Oil-Proof Protective Cover with Pocket (Grey),0,0,0,BLR4,,0,0,,,,,
Cubes-Grey (5Q),CRM-Cube1-Grey-Pack5,"Crasome Packing Cubes for Travel, Travel Organizer for Men & Women, Travel Storage Bag, Travel Organizer, Packing Bag for Clothes (Grey-5)",Cubes-Pack-5,,,20,,,,,,,,,750,15000,,630790,5,300,CRM-Cube1-Grey-Pack5,"Crasome Packing Cubes for Travel, Travel Organizer for Men & Women, Travel Storage Bag, Travel Organizer, Packing Bag for Clothes (Grey-5)",90,116,206,BLR4,149,147,-10,,20,,,
Cubes-Grey (12Q),CRM-Cube1-Grey-Pack12,"Crasome Packing Cubes for Travel, Travel Organizer for Men & Women, Travel Storage Bag, Travel Organizer, Packing Bag for Clothes (Grey-12)",Cubes-Pack-12,1,0,5,,,,,,,,,1830,9150,,630790,5,720,CRM-Cube1-Grey-Pack12,"Crasome Packing Cubes for Travel, Travel Organizer for Men & Women, Travel Storage Bag, Travel Organizer, Packing Bag for Clothes (Grey-12)",30,51,81,BLR4,65,62,2,,5,,,
Cubes-Blue (4Q),CRM-Cube2-Blue-Pack4,"Crasome 4 Set Packing Cubes for Travel, Luggage Organizers with Laundry Bag for Men & Women, Travel Storage Bag, Packing Bag for Clothes (Blue)",Cubes,,,,,,,,,,,,380,,,630790,5,200,CRM-Cube2-Blue-Pack4,"Crasome 4 Set Packing Cubes for Travel, Luggage Organizers with Laundry Bag for Men & Women, Travel Storage Bag, Packing Bag for Clothes (Blue)",50,8,58,BLR4,29,29,-19,,,,,
CP-1-Black,CP-BLACK-1,"CRASOME Laptop Charger Pouch, Travel Organizer Pouch, Gadget Charger Pouch for Mouse, USB, Charger, Cables, Hard Disk (Black)",Pouch,,,,,,,,,,,,100,,,420222,5,80,CP-BLACK-1,"CRASOME Laptop Charger Pouch, Travel Organizer Pouch, Gadget Charger Pouch for Mouse, USB, Charger, Cables, Hard Disk (Black)",0,22,22,BLR4,9,8,-11,,,,,
CP-1-Black,CP-BLACK-1-PACK OF 2,"CRASOME Laptop Charger Pouch, Travel Organizer Pouch, Gadget Charger Pouch for Mouse, USB, Charger, Cables, Hard Disk (Pack of 2)",Pouch,,,0,,,,,,,,,200,,,420222,5,160,CP-BLACK-1-PACK OF 2,"CRASOME Laptop Charger Pouch, Travel Organizer Pouch, Gadget Charger Pouch for Mouse, USB, Charger, Cables, Hard Disk (Pack of 2)",0,17,17,BLR4,7,7,-7,,,,,
CP-2-Grey (2Q),CRM-CP2-GREY-2Q,"CRASOME Laptop Charger Pouch, Travel Organizer Pouch, Gadget Charger Pouch for Mouse, USB, Charger, Cables, Power Bank, Dongle,Hard Disk, (CP2-Grey Pack-2)",Pouch,,,,,,,,,,,,180,,,420222,5,80,CRM-CP2-GREY-2Q,"CRASOME Laptop Charger Pouch, Travel Organizer Pouch, Gadget Charger Pouch for Mouse, USB, Charger, Cables, Power Bank, Dongle,Hard Disk, (CP2-Grey Pack-2)",0,37,37,BLR4,27,27,-1,,,,,
CTSP1-Grey (3Q),CRM_CTSP1_Grey_3Q,"Crasome Set of 3 Multipurpose Transparent Toiletry Bag for Women & Men, Travel Pouch for Makeup Cosmetic, Travel Organizer for Toiletries, Travel Storage Bag (CTSP1_Grey_3Q)",TS Pouch,1,0,,,,,,,,,,300,,,420222,18,140,CRM_CTSP1_Grey_3Q,"Crasome Set of 3 Multipurpose Transparent Toiletry Bag for Women & Men, Travel Pouch for Makeup Cosmetic, Travel Organizer for Toiletries, Travel Storage Bag (CTSP1_Grey_3Q)",0,7,7,BLR4,5,5,0,,,,,
SC-Black (4Q),CRM-SC-BLACK-TS-4Q,Crasome Saree Bags/Covers for Storage Set of-4 Big Size With Zip Closure for Clothes Bags and Wardrobe Organizer With Transparent Window (SC-BLACK-TS-4Q),Saree Cover,,,,,,,,,,,,250,,,420222,18,180,CRM-SC-BLACK-TS-4Q,Crasome Saree Bags/Covers for Storage Set of-4 Big Size With Zip Closure for Clothes Bags and Wardrobe Organizer With Transparent Window (SC-BLACK-TS-4Q),0,8,8,BLR4,2,2,-5,,,,,
SC-TS (4Q),CRM-SC-TS-4Q,Crasome Saree Bags/Covers for Storage Set of-4 Big Size With Zip Closure for Clothes Bags and Wardrobe Organizer With Transparent Window (SC-TS-4Q),Saree Cover,,,5,,,,,,,,,250,1250,,392329,18,180,CRM-SC-TS-4Q,Crasome Saree Bags/Covers for Storage Set of-4 Big Size With Zip Closure for Clothes Bags and Wardrobe Organizer With Transparent Window (SC-TS-4Q),20,27,47,BLR4,27,25,-13,,5,,,
Blanket Cover (TS2Q),CRM-TS-STB-PACK-2,"CRASOME Pack of 2 Transparent Clothes Storage Bags | Saree Covers with zip | Wardrobe Organizer with Zipper | Clear Storage for Clothes, Blankets, Bedsheets, Lehenga, Toys & Documents (TS-STB-PACK-2)",Storage Bag (2Q),,,,,,,,,,,,500,,,392329,18,280,CRM-TS-STB-PACK-2,"CRASOME Pack of 2 Transparent Clothes Storage Bags | Saree Covers with zip | Wardrobe Organizer with Zipper | Clear Storage for Clothes, Blankets, Bedsheets, Lehenga, Toys & Documents (TS-STB-PACK-2)",0,74,74,BLR4,43,41,-19,,,,,
Blanket Cover (TS4Q),CRM-TS-STB-PACK-4,"Crasome Pack of 4 Transparent Storage Bags for Saree Covers | Wardrobe Organizer with Zipper | Clear Storage Bags for Clothes, Lehenga, Blankets, Bedsheets, Toys & Documents (CRM-TS-STB-PACK-4)",Storage Bag (4Q),,,,,,,,,,,,1000,,,392329,18,560,CRM-TS-STB-PACK-4,"Crasome Pack of 4 Transparent Storage Bags for Saree Covers | Wardrobe Organizer with Zipper | Clear Storage Bags for Clothes, Lehenga, Blankets, Bedsheets, Toys & Documents (CRM-TS-STB-PACK-4)",0,122,122,BLR4,52,53,-51,,,,,
Cubes-Grey (3Q),CRM-Cube1-Grey-Pack3-1,"CRASOME Travel Organizer, Packing Cubes for Travel, Packing Bags for Clothes, Traveling Storage Bag for Women Men, Toiletry Pouch, Travel Essentials Pack of 3 (Cube1-Grey-Pack3)",Cubes,4,0.5,30,,,,,,,,,470,14100,,630790,5,180,CRM-Cube1-Grey-Pack3-1,"CRASOME Travel Organizer, Packing Cubes for Travel, Packing Bags for Clothes, Traveling Storage Bag for Women Men, Toiletry Pouch, Travel Essentials Pack of 3 (Cube1-Grey-Pack3)",50,325,375,BLR4,284,288,9,,30,,,
WO1-Blue-2Q,CRM-WO1-Blue-2Q,"Set of 2 Clothes Storage Bags with Handle | Saree Bags with Zip | Wardrobe Organizer for Cloth, Shirts, Salwar Suit, Lehenga | Transparent Window | Cloth Organiser (WO1-Blue-2Q)",Wardrobe Organizer (2Q),1,0,,,,,,,,,,300,,,630790,5,180,CRM-WO1-Blue-2Q,"Set of 2 Clothes Storage Bags with Handle | Saree Bags with Zip | Wardrobe Organizer for Cloth, Shirts, Salwar Suit, Lehenga | Transparent Window | Cloth Organiser (WO1-Blue-2Q)",0,0,0,BLR4,,0,0,,,,,
WO1-Blue-5Q,CRM-WO1-Blue-5Q,"Set of 2 Clothes Storage Bags with Handle | Saree Bags with Zip | Wardrobe Organizer for Cloth, Shirts, Salwar Suit, Lehenga | Transparent Window | Cloth Organiser (WO1-Blue-5Q)",Wardrobe Organizer (5Q),,,,,,,,,,,,750,,,630790,5,450,CRM-WO1-Blue-5Q,"Set of 2 Clothes Storage Bags with Handle | Saree Bags with Zip | Wardrobe Organizer for Cloth, Shirts, Salwar Suit, Lehenga | Transparent Window | Cloth Organiser (WO1-Blue-5Q)",0,7,7,BLR4,,0,-7,,,,,
Blanket Cover Blue (FT2Q),CRM-STB-FT-BLUE-PACK-2,"CRASOME Pack of 2 Storage Bags for Clothes | Storage Bag for Saree Covers, Clothes, Lehenga, Bedsheets, Toys, Docs | Transparent Window Storage Box Bag - (STB-FT-BLU-PACK-2)",Wardrobe Organizer (2Q),,,,,,,,,,,,300,,,630790,5,180,CRM-STB-FT-BLUE-PACK-2,"CRASOME Pack of 2 Storage Bags for Clothes | Storage Bag for Saree Covers, Clothes, Lehenga, Bedsheets, Toys, Docs | Transparent Window Storage Box Bag - (STB-FT-BLU-PACK-2)",0,15,15,BLR4,,0,-15,,,,,
Blanket Cover Blue (FT5Q),CRM-STB-FT-BLUE-PACK-5,"CRASOME Pack of 2 Storage Bags for Clothes | Storage Bag for Saree Covers, Clothes, Lehenga, Bedsheets, Toys, Docs | Transparent Window Storage Box Bag - (STB-FT-BLU-PACK-5)",Wardrobe Organizer (5Q),,,,,,,,,,,,750,,,630790,5,450,CRM-STB-FT-BLUE-PACK-5,"CRASOME Pack of 2 Storage Bags for Clothes | Storage Bag for Saree Covers, Clothes, Lehenga, Bedsheets, Toys, Docs | Transparent Window Storage Box Bag - (STB-FT-BLU-PACK-5)",0,4,4,BLR4,,0,-4,,,,,
Blanket Cover Blue (MT-5Q),CRM-STB-MT-BLUE-PACK-5,"CRASOME Pack of 5 Storage Bag for Saree Covers, Clothes, Lehenga, Bedsheets, Toys, Docs|Wardrobe Organizer|Transparent Window Storage Box Bag - (STB-MT-BLU-PACK-5)",Wardrobe Organizer (5Q),,,8,,,,,,,,,750,6000,,630790,5,450,CRM-STB-MT-BLUE-PACK-5,"CRASOME Pack of 5 Storage Bag for Saree Covers, Clothes, Lehenga, Bedsheets, Toys, Docs|Wardrobe Organizer|Transparent Window Storage Box Bag - (STB-MT-BLU-PACK-5)",0,2,2,BLR4,,0,-2,,8,,,
Blanket Cover Blue (MT-2Q),CRM-STB-MT-BLUE-PACK-2,"CRASOME Pack of 5 Storage Bag for Saree Covers, Clothes, Lehenga, Bedsheets, Toys, Docs|Wardrobe Organizer|Transparent Window Storage Box Bag - (STB-MT-BLU-PACK-2)",Wardrobe Organizer (2Q),,,,,,,,,,,,300,,,630790,5,180,CRM-STB-MT-BLUE-PACK-2,"CRASOME Pack of 5 Storage Bag for Saree Covers, Clothes, Lehenga, Bedsheets, Toys, Docs|Wardrobe Organizer|Transparent Window Storage Box Bag - (STB-MT-BLU-PACK-2)",0,10,10,BLR4,1,0,-10,,,,,
CSTB-BLACK (5Q),CRM-CSTB1-Black-5Q,CRASOME Large 52L Underbed Storage Bag | Storage Bags for Clothes Large | Clothing Storage Organizer | Storage Bag with Zipper and Strong Handle (Black Pack of 5),Wardrobe Organizer (5Q),1,0,,,,,,,,,,780,,,630790,5,600,CRM-CSTB1-Black-5Q,CRASOME Large 52L Underbed Storage Bag | Storage Bags for Clothes Large | Clothing Storage Organizer | Storage Bag with Zipper and Strong Handle (Black Pack of 5),0,0,0,BLR4,,0,0,,,,,
CSTB-BLACK (2Q),CRM-CSTB1-Black-2Q,CRASOME Large 52L Underbed Storage Bag | Storage Bags for Clothes Large | Clothing Storage Organizer | Storage Bag with Zipper and Strong Handle (Black Pack of 2),Wardrobe Organizer (2Q),1,0,,,,,,,,,,300,,,630790,5,240,CRM-CSTB1-Black-2Q,CRASOME Large 52L Underbed Storage Bag | Storage Bags for Clothes Large | Clothing Storage Organizer | Storage Bag with Zipper and Strong Handle (Black Pack of 2),0,0,0,BLR4,,0,0,,,,,
L2321D - Grey,CRM-BR-L2321D-GREY,CRASOME Dust & Water Proof Printer Cover for Brother HL-L2321D / HL-L2400D / HL-L2440DW / HL-B2080DW / HL-B2000D (Grey),Printer NW,8,0.5,40,,,,,,,,,90,3600,,630790,5,40,CRM-BR-L2321D-GREY,CRASOME Dust & Water Proof Printer Cover for Brother HL-L2321D / HL-L2400D / HL-L2440DW / HL-B2080DW / HL-B2000D (Grey),10,31,41,BLR4,49,43,17,,40,,,
G4780 - Grey,CRM-PR-G4780-GREY,CRASOME Dust & Water Proof Printer Cover for Canon Pixma G4780 (Grey),Printer NW,31,0,80,,,,,,,,,90,7200,,630790,5,40,CRM-PR-G4780-GREY,CRASOME Dust & Water Proof Printer Cover for Canon Pixma G4780 (Grey),40,49,89,BLR4,124,113,62,,80,,,
HP 670 (Grey),CRM-PR-670-G3780-GREY,CRASOME Dust & Water Proof Printer Cover for Canon Pixma G3780 (Grey),Printer NW,1,0.5,30,,,,,,,,,90,2700,,630790,5,40,CRM-PR-670-G3780-GREY,CRASOME Dust & Water Proof Printer Cover for Canon Pixma G3780 (Grey),60,8,68,BLR4,73,53,3,,30,,,
L8050 - Grey,CRM-EP-L8050-Grey,Crasome Dust & Water Proof Printer Cover for Epson Ink Tank L8050 (Grey),Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-EP-L8050-Grey,Crasome Dust & Water Proof Printer Cover for Epson Ink Tank L8050 (Grey),0,41,41,BLR4,20,21,-13,,,,,
G4770 (Grey),CRM-PR-G4770-4123-Grey,CRASOME Dust & Water Proof Printer Cover for HP Deskjet Ink Advantage All-in-One 4278 / 4178 / 4123 (Grey),Printer NW,10,0.5,30,,,,,,,,,90,2700,,630790,5,40,CRM-PR-G4770-4123-Grey,CRASOME Dust & Water Proof Printer Cover for HP Deskjet Ink Advantage All-in-One 4278 / 4178 / 4123 (Grey),0,2,2,BLR4,18,17,21,,30,,,
PS 5 (Black),CRM-PS5-NW-BLACK,"CRASOME Dust Cover for PS5 Console, Waterproof Protective Cover for Gaming Console Digital Edition & Disc Edition PS 5 (Black)",Printer NW,,,,,,,,,,,,70,,,630790,5,40,CRM-PS5-NW-BLACK,"CRASOME Dust Cover for PS5 Console, Waterproof Protective Cover for Gaming Console Digital Edition & Disc Edition PS 5 (Black)",20,14,34,BLR4,20,17,-11,,,,,
20 Inch Trolley Cover,CRM-Trolley Cover-20-Inch,"CRASOME Waterproof Trolley Bag Cover/Zippered Clear PVC Transparent Suitcase Cover/Luggage Cover/Traveling Bags Cover/Trolly Bag Cover/Travel Cabin Bag Cover/Suit case Covers (20 Inch)",Trolley Cover Set-1,,,,,,,,,,,,300,,,392329,18,200,CRM-Trolley Cover-20-Inch,"CRASOME Waterproof Trolley Bag Cover/Zippered Clear PVC Transparent Suitcase Cover/Luggage Cover/Traveling Bags Cover/Trolly Bag Cover/Travel Cabin Bag Cover/Suit case Covers (20 Inch)",0,6,6,BLR4,,0,-6,,,,,
24 Inch Trolley Cover,CRM-Trolley Cover-24-Inch,"CRASOME Waterproof Trolley Bag Cover/Zippered Clear PVC Transparent Suitcase Cover/Luggage Cover/Traveling Bags Cover/Trolly Bag Cover/Travel Cabin Bag Cover/Suit case Covers (24 Inch)
",Trolley Cover Set-1,,,,,,,,,,,,450,,,392329,18,250,CRM-Trolley Cover-24-Inch,"CRASOME Waterproof Trolley Bag Cover/Zippered Clear PVC Transparent Suitcase Cover/Luggage Cover/Traveling Bags Cover/Trolly Bag Cover/Travel Cabin Bag Cover/Suit case Covers (24 Inch)
",0,4,4,BLR4,1,1,-2,,,,,
28 Inch Trolley Cover,CRM-Trolley Cover-28-Inch,"CRASOME Waterproof Trolley Bag Cover/Zippered Clear PVC Transparent Suitcase Cover/Luggage Cover/Traveling Bags Cover/Trolly Bag Cover/Travel Cabin Bag Cover/Suit case Covers (28 Inch)
",Trolley Cover Set-1,,,,,,,,,,,,590,,,392329,18,300,CRM-Trolley Cover-28-Inch,"CRASOME Waterproof Trolley Bag Cover/Zippered Clear PVC Transparent Suitcase Cover/Luggage Cover/Traveling Bags Cover/Trolly Bag Cover/Travel Cabin Bag Cover/Suit case Covers (28 Inch)
",0,5,5,BLR4,2,2,-2,,,,,
Trolley Cover Set of 3,CRM-Trolley Cover-Set of 3_1,CRASOME Waterproof Trolley Bag Cover Set of 3/Zippered Clear PVC Transparent Suitcase Cover/Luggage Cover/Traveling Bags Cover/Trolly Bag Cover/Travel Cabin Bag Cover/Suit case Covers,Trolley Cover Set-3,,,30,,,,,,,,,1309,39270,,392329,18,650,CRM-Trolley Cover-Set of 3_1,CRASOME Waterproof Trolley Bag Cover Set of 3/Zippered Clear PVC Transparent Suitcase Cover/Luggage Cover/Traveling Bags Cover/Trolly Bag Cover/Travel Cabin Bag Cover/Suit case Covers,10,3,13,BLR4,12,9,-1,,30,,,
Blanket Cover (TS6Q),CRM-TS-STB-PACK-6,"CRASOME Plastic Storage Bags for Clothes Large (Pack of 6) – Transparent Saree Covers for Storage with Zipper & Handles, Clear Wardrobe Organizer for Blankets, Bedsheets, Lehenga & Toys (40x32 cm)",Storage Bag (6Q),,,,,,,,,,,,1700,,,392329,18,840,CRM-TS-STB-PACK-6,"CRASOME Plastic Storage Bags for Clothes Large (Pack of 6) – Transparent Saree Covers for Storage with Zipper & Handles, Clear Wardrobe Organizer for Blankets, Bedsheets, Lehenga & Toys (40x32 cm)",0,26,26,BLR4,8,8,-15,,,,,
Blanket Cover (TS4Q),CRM-TS-STB-PACK-8,Crasome Pack of 8 Saree Covers with Zip Transparent | Cloth Storage Bags for Clothes | Saree Covers for Storage | Saree Plastic Covers for Storage | Storage Bags for Clothes Large,Storage Bag (4Q),,,,,,,,,,,,1700,,,392329,18,840,CRM-TS-STB-PACK-8,Crasome Pack of 8 Saree Covers with Zip Transparent | Cloth Storage Bags for Clothes | Saree Covers for Storage | Saree Plastic Covers for Storage | Storage Bags for Clothes Large,0,4,4,BLR4,,0,-4,,,,,
CSB5-BLACK,CRM-CSB5-Black-Red,CRASOME Sling Bag for Man | Stylish Crossbody Bags for Men | Compact Office & Travel Side Bag | Adjustable Strap | 3 Zipper Compartments | Travel & Daily Use Crossbody Bag (CSB5-Black-Red),Sling Bag,1,0,30,,,,,,,,,230,6900,,392329,18,840,CRM-CSB5-Black-Red,CRASOME Sling Bag for Man | Stylish Crossbody Bags for Men | Compact Office & Travel Side Bag | Adjustable Strap | 3 Zipper Compartments | Travel & Daily Use Crossbody Bag (CSB5-Black-Red),0,0,0,BLR4,,0,0,,30,,,
HP 4826 (Black),CRM-HP-4826-4929-Black,Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet Advantage Ultra 2820 / 4929 (Black),Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-HP-4826-4929-Black,Crasome Dust Proof Water-resistant Printer Cover for HP Deskjet Advantage Ultra 2820 / 4929 (Black),0,17,17,BLR4,5,5,-10,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1975,,,,,,,,,,,
