,,,,,,,,,,,,,,,,,,,,,,AFS Days,Shipment Plan Days,,,,,Bunch Qty,,,to ship,,,
,,,,,,,,,,,,,,,,,,,,,,30,50,,,,,2,,,1975,,,
Group Name,SKU,Title,Category,Int – WH,Dec – WH,Non Apron Qty,APR- Sky Blue,APR- Dark Blue,APR- Brown,APR- Green,APR- Tan,APR- Black,APR- Red,APR- Grey,weight,Total Weight,,HSN,GST ,COST,SKU,Title,Tra. Qty,quantity,Available Qty,Fulfilment ID,Sale-Total,Sale-WH,Ship – WH,Sum,Final – WH,,,
APR- Tan,CRM_AP_TEN _PACK OF 2,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Ten_Pack of 2)",Apron,10,0,,,,,,40,,,,220,4400,,630222,5,120,CRM_AP_TEN _PACK OF 2,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Ten_Pack of 2)",16,33,49,BLR4,43,41,20,,20,,,
APR- Black,CRM_AP_BLACK_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets (Black_Pack of 3)",Apron,,,,,,,,,,,,390,,,630222,5,180,CRM_AP_BLACK_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets (Black_Pack of 3)",0,22,22,BLR4,6,6,-12,,,,,
APR- Dark Blue,CRM_AP_BLUE_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Blue_Pack of 3)",Apron,,,,,,,,,,,,390,,,630222,5,180,CRM_AP_BLUE_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Blue_Pack of 3)",0,14,14,BLR4,1,5,-5,,,,,
APR- Brown,CRM_AP_BROWN_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Brown_Pack of 3)",Apron,,,,,,,,,,,,390,,,630222,5,180,CRM_AP_BROWN_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Brown_Pack of 3)",0,12,12,BLR4,3,3,-7,,,,,
APR- Green,CRM_AP_GREEN_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Green_Pack of 3 )",Apron,1,0.5,,,,,15,,,,,390,1950,,630222,5,180,CRM_AP_GREEN_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Green_Pack of 3 )",2,4,6,BLR4,5,5,3,,5,,,
APR- Red,CRM_AP_RED_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Red_Pack of 3 )",Apron,,,,,,,,,,,,390,,,630222,5,180,CRM_AP_RED_PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Red_Pack of 3 )",0,8,8,BLR4,4,4,-1,,,,,
APR- Tan,CRM_AP_TEN _PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Ten_Pack of 3)",Apron,,,,,,,,,,,,390,,,630222,5,180,CRM_AP_TEN _PACK OF 3,"CRASOME Apron for Men Women Chef Cooking Restaurants Gardening Workshop, Barbers with Adjustable Strap and Two Pockets ( Ten_Pack of 3)",0,37,37,BLR4,13,11,-18,,,,,
BAJAJ,Bajaj_1,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue),WG,1,0,,,,,,,,,,144,,,630790,5,55,Bajaj_1,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo CSM-BJ (Blue),4,3,7,BLR4,4,4,0,,,,,
BAJAJ,Bajaj_2,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Elgi Ultra Perfect S | Elgi Ultra Perfect Plus | 1.25L Table Top Ultra Mini CSM-BJ (Blue),WG,,,,,,,,,,,,144,,,630790,5,55,Bajaj_2,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Elgi Ultra Perfect S | Elgi Ultra Perfect Plus | 1.25L Table Top Ultra Mini CSM-BJ (Blue),8,11,19,BLR4,7,8,-5,,,,,
BAJAJ,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2L Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),WG,1,0,5,,,,,,,,,144,720,,630790,5,55,Bajaj_3,CRASOME Dust Proof Washable Wet Grinder Cover for 2L Table Top Lakshmi | Prestige PWG 07 | Vidiem Vision CSM-BJ (Blue),40,2,42,BLR4,28,26,2,,5,,,
BAJAJ,Bajaj_4,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Bajaj WX 1 | Bajaj WX 3 CSM-BJ (Blue),WG,12,0,25,,,,,,,,,144,3600,,630790,5,55,Bajaj_4,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2L Table Top Bajaj WX 1 | Bajaj WX 3 CSM-BJ (Blue),2,6,8,BLR4,19,19,24,,25,,,
Bajaj (Grey),CRM-WG-NW-Ultra-Grey,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus | 1.25 Litre Ultra Mini - Grey",WG NW,53,0.5,150,,,,,,,,,90,13500,,630790,5,40,CRM-WG-NW-Ultra-Grey,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus | 1.25 Litre Ultra Mini - Grey",148,280,428,BLR4,351,321,107,,150,,,
Bajaj (Black),CRM-WG-NW-Ultra-Black,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus | 1.25 Litre Ultra Mini - Black",WG NW,,,,,,,,,,,,90,,,630790,5,40,CRM-WG-NW-Ultra-Black,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Perfect S | Ultra Perfect Plus | 1.25 Litre Ultra Mini - Black",0,72,72,BLR4,36,34,-15,,,,,
Bajaj (Grey),CRM-WG-NW-Butterfly-Grey,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Grey",WG NW,10,0,50,,,,,,,,,90,4500,,630790,5,40,CRM-WG-NW-Butterfly-Grey,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Grey",38,119,157,BLR4,108,106,20,,50,,,
Bajaj (Black),CRM-WG-NW-Butterfly-Black,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Black",WG NW,,,,,,,,,,,,90,,,630790,5,40,CRM-WG-NW-Butterfly-Black,"Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Butterfly Rhino | Butterfly Smart | Butterfly Hippo - Black",0,36,36,BLR4,27,16,-9,,,,,
Bajaj (Black),CRM-WG-NW-Ultra-Grind+-Black,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Grind+ Gold - Black,WG NW,1,0,5,,,,,,,,,90,450,,630790,5,40,CRM-WG-NW-Ultra-Grind+-Black,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Grind+ Gold - Black,30,45,75,BLR4,46,46,2,,5,,,
Bajaj (Grey),CRM-WG-NW-Ultra-Grind+-Grey,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Grind+ Gold - Grey,WG NW,0,0.5,80,,,,,,,,,90,7200,,630790,5,40,CRM-WG-NW-Ultra-Grind+-Grey,Crasome Dust Proof Water Resistant Kitchen Wet Grinder Cover for 2 Litre Table Top Ultra Grind+ Gold - Grey,90,206,296,BLR4,181,178,1,,80,,,
BAJAJ,Ultra_1,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2.5L Table Top Ultra Grind Plus Gold | Ultra Bigg Plus CSM-UL (Blue),WG,4,0,30,,,,,,,,,181,5430,,630790,5,55,Ultra_1,CRASOME Dust Proof Washable Kitchen Wet Grinder Cover for 2.5L Table Top Ultra Grind Plus Gold | Ultra Bigg Plus CSM-UL (Blue),22,117,139,BLR4,90,88,8,,30,,,
DC (NW Black),CRM_NW_BLACK_DC,"CRASOME Water Dispenser Bottle Dust Cover, Durable Fabric Dust Proof Cover for 20L Water Bottle (Black)",NW-DC,,,,,,,,,,,,85,,,630790,5,30,CRM_NW_BLACK_DC,"CRASOME Water Dispenser Bottle Dust Cover, Durable Fabric Dust Proof Cover for 20L Water Bottle (Black)",24,68,92,BLR4,48,48,-12,,,,,
DC (NW Grey),CRM_NW_GREY_DC,"CRASOME Water Dispenser Bottle Dust Cover, Durable Fabric Dust Proof Cover for 20L Water Bottle (Grey)",NW-DC,0,0.5,20,,,,,,,,,85,1700,,630790,5,30,CRM_NW_GREY_DC,"CRASOME Water Dispenser Bottle Dust Cover, Durable Fabric Dust Proof Cover for 20L Water Bottle (Grey)",52,46,98,BLR4,60,59,1,,20,,,
DC (NW Black),CRM_NW_BLACK_DC_PACK OF 5,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Black Pack of 5),NW-DC,10,0,100,,,,,,,,,425,8500,,630790,5,150,CRM_NW_BLACK_DC_PACK OF 5,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Black Pack of 5),0,0,0,BLR4,12,12,20,,20,,,
DC (NW Grey),CRM_NW_GREY_DC_PACK OF 5,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Grey Pack of 5),NW-DC,0,0.5,25,,,,,,,,,425,2125,,630790,5,150,CRM_NW_GREY_DC_PACK OF 5,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Grey Pack of 5),4,9,13,BLR4,8,8,1,,5,,,
DC (NW Black),CRM_NW_BLACK_DC_PACK OF 2,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Black Pack of 2),NW-DC,,,0,,,,,,,,,170,,,630790,5,60,CRM_NW_BLACK_DC_PACK OF 2,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Black Pack of 2),0,24,24,BLR4,11,12,-4,,,,,
DC (NW Grey),CRM_NW_GREY_DC_PACK OF 2,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Grey Pack of 2),NW-DC,,,0,,,,,,,,,170,,,630790,5,60,CRM_NW_GREY_DC_PACK OF 2,CRASOME Water Dispenser 20 Liter Bottle Jar Cover (Grey Pack of 2),0,42,42,BLR4,3,4,-35,,,,,
DC-TS-NW-Black,CRM-DC-TS-NW-BLACK,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Black (DC-TS-BLK),NW-DC,12,0,60,,,,,,,,,85,5100,,630790,5,30,CRM-DC-TS-NW-BLACK,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Black (DC-TS-BLK),54,162,216,BLR4,146,144,24,,60,,,
DC-TS-NW-Grey,CRM-DC-TS-NW-GREY,CRASOME Water Dispenser for 20 ltr/Litre Bottle Jar Cover with Transparent Strap - Grey (DC-TS-GRY),NW-DC,18,0,60,,,,,,,,,85,5100,,630790,5,30,CRM-DC-TS-NW-GREY,CRASOME Water Dispenser for 20 ltr/Litre Bottle Jar Cover with Transparent Strap - Grey (DC-TS-GRY),42,119,161,BLR4,116,118,36,,60,,,
DC-TS-NW-Black,CRM-DC-TS-NW-BLACK-2Q,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Black Pack of 2 (DC-TS-B-2Q),NW-DC,,,0,,,,,,,,,170,,,630790,5,60,CRM-DC-TS-NW-BLACK-2Q,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Black Pack of 2 (DC-TS-B-2Q),12,60,72,BLR4,36,40,-5,,,,,
DC-TS-NW-Grey,CRM-DC-TS-NW-GREY-2Q,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Grey Pack of 2 (DC-TS-G-2Q),NW-DC,4,0.5,30,,,,,,,,,170,2550,,630790,5,60,CRM-DC-TS-NW-GREY-2Q,Crasome Water Dispenser for 20 ltr / Litre Bottle Jar Cover with Transparent Strap - Grey Pack of 2 (DC-TS-G-2Q),0,56,56,BLR4,38,39,9,,15,,,
L3110 (Grey),CRM-EP-L3210-NW-GREY,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3250 / L3210 (Grey)",Printer NW,10,0.5,60,,,,,,,,,90,5400,,630790,5,40,CRM-EP-L3210-NW-GREY,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3250 / L3210 (Grey)",82,154,236,BLR4,157,154,21,,60,,,
L3110 (Black),CRM-EP-L3210-NW-BLACK,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3250 / L3210 (Black)",Printer NW,6,0.5,50,,,,,,,,,90,4500,,630790,5,40,CRM-EP-L3210-NW-BLACK,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3250 / L3210 (Black)",100,96,196,BLR4,126,125,13,,50,,,
L3110 (Black),CRM-EP-L3110-NW-BLACK,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3150 / L3110 (Black)",Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-EP-L3110-NW-BLACK,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3150 / L3110 (Black)",0,14,14,BLR4,2,1,-12,,,,,
L3110 (Grey),CRM-EP-L3110-NW-GREY,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3150 / L3110 (Grey)",Printer NW,,,,,,,,,,,,90,,,630790,5,40,CRM-EP-L3110-NW-GREY,"Crasome Dust & Water Proof Printer Cover for Epson EcoTank L3150 / L3110 (Grey)",0,26,26,BLR4,8,8,-12,,,,,
